EM,EN,unicode,label,strategy,image
🚗🛣️✔️,right bank,U+1F697 U+1F6E3 U+FE0F U+2714 U+FE0F,0,6,./generated_img_dataset/train_google/1279.png
👉🛣️,right bank,U+1F449 U+1F6E3 U+FE0F,0,6,./generated_img_dataset/train_google/1280.png
✔️💡👩👍,right bank,U+2714 U+FE0F U+1F4A1 U+1F469 U+1F44D,0,6,./generated_img_dataset/train_google/1281.png
👉🤚,right bank,U+1F449 U+1F91A,0,6,./generated_img_dataset/train_google/1282.png
✔️📄✍️,right bank,U+2714 U+FE0F U+1F4C4 U+270D U+FE0F,0,6,./generated_img_dataset/train_google/1283.png
➡️🤝,right bank,U+27A1 U+FE0F U+1F91D,0,6,./generated_img_dataset/train_google/1284.png
✔️,right bank,U+2714 U+FE0F,0,6,./generated_img_dataset/train_google/1285.png
✔️💡👩👍,right bank,U+2714 U+FE0F U+1F4A1 U+1F469 U+1F44D,0,6,./generated_img_dataset/train_google/1286.png
👍🕴️,right hand,U+1F44D U+1F574 U+FE0F,0,6,./generated_img_dataset/train_google/1287.png
✔️🛣️,right hand,U+2714 U+FE0F U+1F6E3 U+FE0F,0,6,./generated_img_dataset/train_google/1288.png
➡️👨👌,right hand,U+27A1 U+FE0F U+1F468 U+1F44C,0,6,./generated_img_dataset/train_google/1289.png
👉🏦,right hand,U+1F449 U+1F3E6,0,6,./generated_img_dataset/train_google/1290.png
👉🛣️,right hand,U+1F449 U+1F6E3 U+FE0F,0,6,./generated_img_dataset/train_google/1291.png
👉👱🏻‍♂️,right hand,U+1F449 U+1F471 U+1F3FB U+200D U+2642 U+FE0F,0,6,./generated_img_dataset/train_google/1292.png
🙋‍♀️👍✅,right hand,U+1F64B U+200D U+2640 U+FE0F U+1F44D U+2705,0,6,./generated_img_dataset/train_google/1293.png
➡️💯,right hand,U+27A1 U+FE0F U+1F4AF,0,6,./generated_img_dataset/train_google/1294.png
✔️,right side,U+2714 U+FE0F,0,6,./generated_img_dataset/train_google/1295.png
✔️🏦,right side,U+2714 U+FE0F U+1F3E6,0,6,./generated_img_dataset/train_google/1296.png
✋👉,right side,U+270B U+1F449,0,6,./generated_img_dataset/train_google/1297.png
👍✅,right side,U+1F44D U+2705,0,6,./generated_img_dataset/train_google/1298.png
👍,right side,U+1F44D,0,6,./generated_img_dataset/train_google/1299.png
✔️,right side,U+2714 U+FE0F,0,6,./generated_img_dataset/train_google/1300.png
🤲🤚,right side,U+1F932 U+1F91A,0,6,./generated_img_dataset/train_google/1301.png
👉🖐️,right side,U+1F449 U+1F590 U+FE0F,0,6,./generated_img_dataset/train_google/1302.png
👉🏞️,right decision,U+1F449 U+1F3DE U+FE0F,0,6,./generated_img_dataset/train_google/1303.png
👍🏦💰💰💰,right decision,U+1F44D U+1F3E6 U+1F4B0 U+1F4B0 U+1F4B0,0,6,./generated_img_dataset/train_google/1304.png
🚗🛣️✔️,right decision,U+1F697 U+1F6E3 U+FE0F U+2714 U+FE0F,0,6,./generated_img_dataset/train_google/1305.png
👉🏞️,right decision,U+1F449 U+1F3DE U+FE0F,0,6,./generated_img_dataset/train_google/1306.png
👉,right decision,U+1F449,0,6,./generated_img_dataset/train_google/1307.png
✔️,right decision,U+2714 U+FE0F,0,6,./generated_img_dataset/train_google/1308.png
👩😍👨✔️,right decision,U+1F469 U+1F60D U+1F468 U+2714 U+FE0F,0,6,./generated_img_dataset/train_google/1309.png
👉✔️,right decision,U+1F449 U+2714 U+FE0F,0,6,./generated_img_dataset/train_google/1310.png
➡️🏦💰,right answer,U+27A1 U+FE0F U+1F3E6 U+1F4B0,0,6,./generated_img_dataset/train_google/1311.png
👍🏦💰💰💰,right answer,U+1F44D U+1F3E6 U+1F4B0 U+1F4B0 U+1F4B0,0,6,./generated_img_dataset/train_google/1312.png
👍🏦💰💰💰,right answer,U+1F44D U+1F3E6 U+1F4B0 U+1F4B0 U+1F4B0,0,6,./generated_img_dataset/train_google/1313.png
👉🏞️,right answer,U+1F449 U+1F3DE U+FE0F,0,6,./generated_img_dataset/train_google/1314.png
👍,right answer,U+1F44D,0,6,./generated_img_dataset/train_google/1315.png
👍,right answer,U+1F44D,0,6,./generated_img_dataset/train_google/1316.png
✔️👍,right answer,U+2714 U+FE0F U+1F44D,0,6,./generated_img_dataset/train_google/1317.png
✔️👍,right answer,U+2714 U+FE0F U+1F44D,0,6,./generated_img_dataset/train_google/1318.png
🚗🛣️✔️,right man,U+1F697 U+1F6E3 U+FE0F U+2714 U+FE0F,0,6,./generated_img_dataset/train_google/1319.png
✔️💡👩👍,right man,U+2714 U+FE0F U+1F4A1 U+1F469 U+1F44D,0,6,./generated_img_dataset/train_google/1320.png
👍🏦💸💹,right man,U+1F44D U+1F3E6 U+1F4B8 U+1F4B9,0,6,./generated_img_dataset/train_google/1321.png
➡️🏦💰,right man,U+27A1 U+FE0F U+1F3E6 U+1F4B0,0,6,./generated_img_dataset/train_google/1322.png
👉🏦,right man,U+1F449 U+1F3E6,0,6,./generated_img_dataset/train_google/1323.png
👉🛣️,right man,U+1F449 U+1F6E3 U+FE0F,0,6,./generated_img_dataset/train_google/1324.png
✅,right man,U+2705,0,6,./generated_img_dataset/train_google/1325.png
💯,right man,U+1F4AF,0,6,./generated_img_dataset/train_google/1326.png
➡️👨👌,right road,U+27A1 U+FE0F U+1F468 U+1F44C,0,6,./generated_img_dataset/train_google/1327.png
➡️🏦💰,right road,U+27A1 U+FE0F U+1F3E6 U+1F4B0,0,6,./generated_img_dataset/train_google/1328.png
👍🏦💸💹,right road,U+1F44D U+1F3E6 U+1F4B8 U+1F4B9,0,6,./generated_img_dataset/train_google/1329.png
✔️👨💕,right road,U+2714 U+FE0F U+1F468 U+1F495,0,6,./generated_img_dataset/train_google/1330.png
👍🏦💸💹,right road,U+1F44D U+1F3E6 U+1F4B8 U+1F4B9,0,6,./generated_img_dataset/train_google/1331.png
✔️👨,right road,U+2714 U+FE0F U+1F468,0,6,./generated_img_dataset/train_google/1332.png
👍🏦💰💰💰,right road,U+1F44D U+1F3E6 U+1F4B0 U+1F4B0 U+1F4B0,0,6,./generated_img_dataset/train_google/1333.png
🤔💭💡📈,right road,U+1F914 U+1F4AD U+1F4A1 U+1F4C8,0,6,./generated_img_dataset/train_google/1334.png
✔️🏦,right thing,U+2714 U+FE0F U+1F3E6,0,6,./generated_img_dataset/train_google/1335.png
➡️🧑‍🤝‍🧑👈,right thing,U+27A1 U+FE0F U+1F9D1 U+200D U+1F91D U+200D U+1F9D1 U+1F448,0,6,./generated_img_dataset/train_google/1336.png
➡️🧑‍🤝‍🧑👈,right thing,U+27A1 U+FE0F U+1F9D1 U+200D U+1F91D U+200D U+1F9D1 U+1F448,0,6,./generated_img_dataset/train_google/1337.png
👉✔️,right thing,U+1F449 U+2714 U+FE0F,0,6,./generated_img_dataset/train_google/1338.png
👉,right thing,U+1F449,0,6,./generated_img_dataset/train_google/1339.png
✔️,right thing,U+2714 U+FE0F,0,6,./generated_img_dataset/train_google/1340.png
👩😍👨✔️,right thing,U+1F469 U+1F60D U+1F468 U+2714 U+FE0F,0,6,./generated_img_dataset/train_google/1341.png
🛣️↗️,right thing,U+1F6E3 U+FE0F U+2197 U+FE0F,0,6,./generated_img_dataset/train_google/1342.png
🤏🚢,short holiday,U+1F90F U+1F6A2,0,6,./generated_img_dataset/train_google/1343.png
♨️🫁💨,short holiday,U+2668 U+FE0F U+1FAC1 U+1F4A8,0,6,./generated_img_dataset/train_google/1344.png
🤏📅,short holiday,U+1F90F U+1F4C5,0,6,./generated_img_dataset/train_google/1345.png
🩳✈️,short holiday,U+1FA73 U+2708 U+FE0F,0,6,./generated_img_dataset/train_google/1346.png
⌛📖,short holiday,U+231B U+1F4D6,0,6,./generated_img_dataset/train_google/1347.png
⏳🗓️📅,short holiday,U+23F3 U+1F5D3 U+FE0F U+1F4C5,0,6,./generated_img_dataset/train_google/1348.png
⏳🫀💓,short holiday,U+23F3 U+1FAC0 U+1F493,0,6,./generated_img_dataset/train_google/1349.png
🥲✈️,short holiday,U+1F972 U+2708 U+FE0F,0,6,./generated_img_dataset/train_google/1350.png
🤏🏖️,short ration,U+1F90F U+1F3D6 U+FE0F,0,6,./generated_img_dataset/train_google/1351.png
❌✏️🪓🔧,short ration,U+274C U+270F U+FE0F U+1FA93 U+1F527,0,6,./generated_img_dataset/train_google/1352.png
❌✏️🪓🔧,short ration,U+274C U+270F U+FE0F U+1FA93 U+1F527,0,6,./generated_img_dataset/train_google/1353.png
🤏🏭,short ration,U+1F90F U+1F3ED,0,6,./generated_img_dataset/train_google/1354.png
🤏📙📖,short ration,U+1F90F U+1F4D9 U+1F4D6,0,6,./generated_img_dataset/train_google/1355.png
🤏🦱,short ration,U+1F90F U+1F9B1,0,6,./generated_img_dataset/train_google/1356.png
🤏✈️,short ration,U+1F90F U+2708 U+FE0F,0,6,./generated_img_dataset/train_google/1357.png
🤏📦,short ration,U+1F90F U+1F4E6,0,6,./generated_img_dataset/train_google/1358.png
⏬🧥👚👕👖,short hair,U+23EC U+1F9E5 U+1F45A U+1F455 U+1F456,0,6,./generated_img_dataset/train_google/1359.png
⏳🫀💓,short hair,U+23F3 U+1FAC0 U+1F493,0,6,./generated_img_dataset/train_google/1360.png
🩳✈️,short hair,U+1FA73 U+2708 U+FE0F,0,6,./generated_img_dataset/train_google/1361.png
🤏📦,short hair,U+1F90F U+1F4E6,0,6,./generated_img_dataset/train_google/1362.png
🩳🏖️,short hair,U+1FA73 U+1F3D6 U+FE0F,0,6,./generated_img_dataset/train_google/1363.png
🤏💲,short hair,U+1F90F U+1F4B2,0,6,./generated_img_dataset/train_google/1364.png
⏬🧥👚👕👖,short hair,U+23EC U+1F9E5 U+1F45A U+1F455 U+1F456,0,6,./generated_img_dataset/train_google/1365.png
⌛📔,short hair,U+231B U+1F4D4,0,6,./generated_img_dataset/train_google/1366.png
‼️⚠️🍞,short smokestack,U+203C U+FE0F U+26A0 U+FE0F U+1F35E,0,6,./generated_img_dataset/train_google/1367.png
🤏💵,short smokestack,U+1F90F U+1F4B5,0,6,./generated_img_dataset/train_google/1368.png
🛫🛬,short smokestack,U+1F6EB U+1F6EC,0,6,./generated_img_dataset/train_google/1369.png
⏳📕,short smokestack,U+23F3 U+1F4D5,0,6,./generated_img_dataset/train_google/1370.png
🥲🤏✈️⛩️,short smokestack,U+1F972 U+1F90F U+2708 U+FE0F U+26E9 U+FE0F,0,6,./generated_img_dataset/train_google/1371.png
⏳🕐👩‍🦳🧓,short smokestack,U+23F3 U+1F550 U+1F469 U+200D U+1F9B3 U+1F9D3,0,6,./generated_img_dataset/train_google/1372.png
🩳🏖️,short smokestack,U+1FA73 U+1F3D6 U+FE0F,0,6,./generated_img_dataset/train_google/1373.png
🤏🗣️📖,short smokestack,U+1F90F U+1F5E3 U+FE0F U+1F4D6,0,6,./generated_img_dataset/train_google/1374.png
🔜📅,short supply,U+1F51C U+1F4C5,0,6,./generated_img_dataset/train_google/1375.png
🩳🛳️💨,short supply,U+1FA73 U+1F6F3 U+FE0F U+1F4A8,0,6,./generated_img_dataset/train_google/1376.png
🩳🗓️,short supply,U+1FA73 U+1F5D3 U+FE0F,0,6,./generated_img_dataset/train_google/1377.png
🤏🗣️,short supply,U+1F90F U+1F5E3 U+FE0F,0,6,./generated_img_dataset/train_google/1378.png
🤷💸💸💸,short supply,U+1F937 U+1F4B8 U+1F4B8 U+1F4B8,0,6,./generated_img_dataset/train_google/1379.png
⌚📖,short supply,U+231A U+1F4D6,0,6,./generated_img_dataset/train_google/1380.png
⌛📅,short supply,U+231B U+1F4C5,0,6,./generated_img_dataset/train_google/1381.png
🤏🍞,short supply,U+1F90F U+1F35E,0,6,./generated_img_dataset/train_google/1382.png
⏳✈️,short money,U+23F3 U+2708 U+FE0F,0,6,./generated_img_dataset/train_google/1383.png
⏳📕,short money,U+23F3 U+1F4D5,0,6,./generated_img_dataset/train_google/1384.png
⏳✈️,short money,U+23F3 U+2708 U+FE0F,0,6,./generated_img_dataset/train_google/1385.png
🤏🏭,short money,U+1F90F U+1F3ED,0,6,./generated_img_dataset/train_google/1386.png
🥲🤏✈️⛩️,short money,U+1F972 U+1F90F U+2708 U+FE0F U+26E9 U+FE0F,0,6,./generated_img_dataset/train_google/1387.png
⌛🗓️,short money,U+231B U+1F5D3 U+FE0F,0,6,./generated_img_dataset/train_google/1388.png
🤏🧳🛄,short money,U+1F90F U+1F9F3 U+1F6C4,0,6,./generated_img_dataset/train_google/1389.png
🤏💇‍♀️,short money,U+1F90F U+1F487 U+200D U+2640 U+FE0F,0,6,./generated_img_dataset/train_google/1390.png
🤏💡⚡,short flight,U+1F90F U+1F4A1 U+26A1,0,6,./generated_img_dataset/train_google/1391.png
💰💸😔,short flight,U+1F4B0 U+1F4B8 U+1F614,0,6,./generated_img_dataset/train_google/1392.png
⏳🗓️📅,short flight,U+23F3 U+1F5D3 U+FE0F U+1F4C5,0,6,./generated_img_dataset/train_google/1393.png
🩳🏖️,short flight,U+1FA73 U+1F3D6 U+FE0F,0,6,./generated_img_dataset/train_google/1394.png
⏬🧥👚👕👖,short flight,U+23EC U+1F9E5 U+1F45A U+1F455 U+1F456,0,6,./generated_img_dataset/train_google/1395.png
⏬🍚🍜,short flight,U+23EC U+1F35A U+1F35C,0,6,./generated_img_dataset/train_google/1396.png
👨‍👩‍👧‍👧👉💀👨‍👩‍👧,short flight,U+1F468 U+200D U+1F469 U+200D U+1F467 U+200D U+1F467 U+1F449 U+1F480 U+1F468 U+200D U+1F469 U+200D U+1F467,0,6,./generated_img_dataset/train_google/1397.png
🛫🛬,short flight,U+1F6EB U+1F6EC,0,6,./generated_img_dataset/train_google/1398.png
🤏💲,short month,U+1F90F U+1F4B2,0,6,./generated_img_dataset/train_google/1399.png
⏳✈️,short month,U+23F3 U+2708 U+FE0F,0,6,./generated_img_dataset/train_google/1400.png
🩳🛳️💨,short month,U+1FA73 U+1F6F3 U+FE0F U+1F4A8,0,6,./generated_img_dataset/train_google/1401.png
🤏🏖️,short month,U+1F90F U+1F3D6 U+FE0F,0,6,./generated_img_dataset/train_google/1402.png
❌✏️🪓🔧,short month,U+274C U+270F U+FE0F U+1FA93 U+1F527,0,6,./generated_img_dataset/train_google/1403.png
🩳✈️,short month,U+1FA73 U+2708 U+FE0F,0,6,./generated_img_dataset/train_google/1404.png
⏳🏖️✈️🧳,short month,U+23F3 U+1F3D6 U+FE0F U+2708 U+FE0F U+1F9F3,0,6,./generated_img_dataset/train_google/1405.png
🩳🍚,short month,U+1FA73 U+1F35A,0,6,./generated_img_dataset/train_google/1406.png
🩳✈️,short story,U+1FA73 U+2708 U+FE0F,0,6,./generated_img_dataset/train_google/1407.png
⏳🗓️📅,short story,U+23F3 U+1F5D3 U+FE0F U+1F4C5,0,6,./generated_img_dataset/train_google/1408.png
🤏🌾,short story,U+1F90F U+1F33E,0,6,./generated_img_dataset/train_google/1409.png
🤏☠️,short story,U+1F90F U+2620 U+FE0F,0,6,./generated_img_dataset/train_google/1410.png
🤏☠️,short story,U+1F90F U+2620 U+FE0F,0,6,./generated_img_dataset/train_google/1411.png
🤏⌛🗓️,short story,U+1F90F U+231B U+1F5D3 U+FE0F,0,6,./generated_img_dataset/train_google/1412.png
🤏🍠🍞🥚,short story,U+1F90F U+1F360 U+1F35E U+1F95A,0,6,./generated_img_dataset/train_google/1413.png
🤏✈️,short story,U+1F90F U+2708 U+FE0F,0,6,./generated_img_dataset/train_google/1414.png
🤏💇‍♀️,short life,U+1F90F U+1F487 U+200D U+2640 U+FE0F,0,6,./generated_img_dataset/train_google/1415.png
🤏💡⚡,short life,U+1F90F U+1F4A1 U+26A1,0,6,./generated_img_dataset/train_google/1416.png
↔️🏝️🍾💆🧖🧘,short life,U+2194 U+FE0F U+1F3DD U+FE0F U+1F37E U+1F486 U+1F9D6 U+1F9D8,0,6,./generated_img_dataset/train_google/1417.png
♨️🫁💨,short life,U+2668 U+FE0F U+1FAC1 U+1F4A8,0,6,./generated_img_dataset/train_google/1418.png
♨️🫁💨,short life,U+2668 U+FE0F U+1FAC1 U+1F4A8,0,6,./generated_img_dataset/train_google/1419.png
💇‍♀️,short life,U+1F487 U+200D U+2640 U+FE0F,0,6,./generated_img_dataset/train_google/1420.png
↔️🏝️🍾💆🧖🧘,short life,U+2194 U+FE0F U+1F3DD U+FE0F U+1F37E U+1F486 U+1F9D6 U+1F9D8,0,6,./generated_img_dataset/train_google/1421.png
🤏🔩⚙️,short life,U+1F90F U+1F529 U+2699 U+FE0F,0,6,./generated_img_dataset/train_google/1422.png
😖🦶,dirty job,U+1F616 U+1F9B6,0,6,./generated_img_dataset/train_google/1423.png
🧍‍♂️🤢,dirty job,U+1F9CD U+200D U+2642 U+FE0F U+1F922,0,6,./generated_img_dataset/train_google/1424.png
👃🦶🤢,dirty job,U+1F443 U+1F9B6 U+1F922,0,6,./generated_img_dataset/train_google/1425.png
🦠🤐🤑💸🦠,dirty job,U+1F9A0 U+1F910 U+1F911 U+1F4B8 U+1F9A0,0,6,./generated_img_dataset/train_google/1426.png
😑😒🥊,dirty job,U+1F611 U+1F612 U+1F94A,0,6,./generated_img_dataset/train_google/1427.png
👎🏚️,dirty job,U+1F44E U+1F3DA U+FE0F,0,6,./generated_img_dataset/train_google/1428.png
🤢🦶,dirty job,U+1F922 U+1F9B6,0,6,./generated_img_dataset/train_google/1429.png
😵‍💫😖👉🛁,dirty job,U+1F635 U+200D U+1F4AB U+1F616 U+1F449 U+1F6C1,0,6,./generated_img_dataset/train_google/1430.png
👎🏚️,dirty foot,U+1F44E U+1F3DA U+FE0F,0,6,./generated_img_dataset/train_google/1431.png
🤢🧳,dirty foot,U+1F922 U+1F9F3,0,6,./generated_img_dataset/train_google/1432.png
🤮👗👚,dirty foot,U+1F92E U+1F457 U+1F45A,0,6,./generated_img_dataset/train_google/1433.png
👎🧥,dirty foot,U+1F44E U+1F9E5,0,6,./generated_img_dataset/train_google/1434.png
💩👘,dirty foot,U+1F4A9 U+1F458,0,6,./generated_img_dataset/train_google/1435.png
🤮🛠️,dirty foot,U+1F92E U+1F6E0 U+FE0F,0,6,./generated_img_dataset/train_google/1436.png
💩💼,dirty foot,U+1F4A9 U+1F4BC,0,6,./generated_img_dataset/train_google/1437.png
🪠🚽🧹,dirty foot,U+1FAA0 U+1F6BD U+1F9F9,0,6,./generated_img_dataset/train_google/1438.png
🤢🧳,dirty dish,U+1F922 U+1F9F3,0,6,./generated_img_dataset/train_google/1439.png
🧼🦠🏚️,dirty dish,U+1F9FC U+1F9A0 U+1F3DA U+FE0F,0,6,./generated_img_dataset/train_google/1440.png
😵‍💫😖👉🛁,dirty dish,U+1F635 U+200D U+1F4AB U+1F616 U+1F449 U+1F6C1,0,6,./generated_img_dataset/train_google/1441.png
😣🔞💸,dirty dish,U+1F623 U+1F51E U+1F4B8,0,6,./generated_img_dataset/train_google/1442.png
🤢🧳,dirty dish,U+1F922 U+1F9F3,0,6,./generated_img_dataset/train_google/1443.png
🦠🛖🦠,dirty dish,U+1F9A0 U+1F6D6 U+1F9A0,0,6,./generated_img_dataset/train_google/1444.png
👎🦶,dirty dish,U+1F44E U+1F9B6,0,6,./generated_img_dataset/train_google/1445.png
😵‍💫😖👉🛁,dirty dish,U+1F635 U+200D U+1F4AB U+1F616 U+1F449 U+1F6C1,0,6,./generated_img_dataset/train_google/1446.png
💩👊🥊,dirty slum,U+1F4A9 U+1F44A U+1F94A,0,6,./generated_img_dataset/train_google/1447.png
💩💵💰,dirty slum,U+1F4A9 U+1F4B5 U+1F4B0,0,6,./generated_img_dataset/train_google/1449.png
😵‍💫😖👉🛁,dirty slum,U+1F635 U+200D U+1F4AB U+1F616 U+1F449 U+1F6C1,0,6,./generated_img_dataset/train_google/1450.png
💩👖,dirty slum,U+1F4A9 U+1F456,0,6,./generated_img_dataset/train_google/1451.png
🤮🤢👷‍♂️,dirty slum,U+1F92E U+1F922 U+1F477 U+200D U+2642 U+FE0F,0,6,./generated_img_dataset/train_google/1452.png
❌⚖️💪👨‍🦲💢,dirty slum,U+274C U+2696 U+FE0F U+1F4AA U+1F468 U+200D U+1F9B2 U+1F4A2,0,6,./generated_img_dataset/train_google/1453.png
🚽👷🛠️,dirty slum,U+1F6BD U+1F477 U+1F6E0 U+FE0F,0,6,./generated_img_dataset/train_google/1454.png
💩💼,dirty work,U+1F4A9 U+1F4BC,0,6,./generated_img_dataset/train_google/1455.png
👎🧥,dirty work,U+1F44E U+1F9E5,0,6,./generated_img_dataset/train_google/1456.png
😈💵💵🚫👉👮,dirty work,U+1F608 U+1F4B5 U+1F4B5 U+1F6AB U+1F449 U+1F46E,0,6,./generated_img_dataset/train_google/1457.png
🧼👕,dirty work,U+1F9FC U+1F455,0,6,./generated_img_dataset/train_google/1458.png
🤢🧳,dirty work,U+1F922 U+1F9F3,0,6,./generated_img_dataset/train_google/1459.png
🥵🦶💩,dirty work,U+1F975 U+1F9B6 U+1F4A9,0,6,./generated_img_dataset/train_google/1460.png
😖🦶,dirty work,U+1F616 U+1F9B6,0,6,./generated_img_dataset/train_google/1461.png
👿👊🥊🤼,dirty work,U+1F47F U+1F44A U+1F94A U+1F93C,0,6,./generated_img_dataset/train_google/1462.png
🤮🥋,dirty money,U+1F92E U+1F94B,0,6,./generated_img_dataset/train_google/1463.png
🧼🍽️🧫,dirty money,U+1F9FC U+1F37D U+FE0F U+1F9EB,0,6,./generated_img_dataset/train_google/1464.png
🪠🚽🧹💰👵👴,dirty money,U+1FAA0 U+1F6BD U+1F9F9 U+1F4B0 U+1F475 U+1F474,0,6,./generated_img_dataset/train_google/1465.png
❌⚖️💪👨‍🦲💢,dirty money,U+274C U+2696 U+FE0F U+1F4AA U+1F468 U+200D U+1F9B2 U+1F4A2,0,6,./generated_img_dataset/train_google/1466.png
👎🏚️,dirty money,U+1F44E U+1F3DA U+FE0F,0,6,./generated_img_dataset/train_google/1467.png
🤮👗👚,dirty money,U+1F92E U+1F457 U+1F45A,0,6,./generated_img_dataset/train_google/1468.png
🧼🦶,dirty money,U+1F9FC U+1F9B6,0,6,./generated_img_dataset/train_google/1469.png
❌⚖️💪👨‍🦲💢,dirty money,U+274C U+2696 U+FE0F U+1F4AA U+1F468 U+200D U+1F9B2 U+1F4A2,0,6,./generated_img_dataset/train_google/1470.png
🧼🦶,dirty overall,U+1F9FC U+1F9B6,0,6,./generated_img_dataset/train_google/1471.png
💩💸🏠,dirty overall,U+1F4A9 U+1F4B8 U+1F3E0,0,6,./generated_img_dataset/train_google/1472.png
😈💵💵🚫👉👮,dirty overall,U+1F608 U+1F4B5 U+1F4B5 U+1F6AB U+1F449 U+1F46E,0,6,./generated_img_dataset/train_google/1473.png
🧼🦶,dirty overall,U+1F9FC U+1F9B6,0,6,./generated_img_dataset/train_google/1474.png
🥵🦶💩,dirty overall,U+1F975 U+1F9B6 U+1F4A9,0,6,./generated_img_dataset/train_google/1475.png
🤮🍽️,dirty overall,U+1F92E U+1F37D U+FE0F,0,6,./generated_img_dataset/train_google/1476.png
💩👣,dirty overall,U+1F4A9 U+1F463,0,6,./generated_img_dataset/train_google/1477.png
😖🦶,dirty overall,U+1F616 U+1F9B6,0,6,./generated_img_dataset/train_google/1478.png
🤮🍽️,dirty fighter,U+1F92E U+1F37D U+FE0F,0,6,./generated_img_dataset/train_google/1479.png
😒💰,dirty fighter,U+1F612 U+1F4B0,0,6,./generated_img_dataset/train_google/1480.png
💩🍽️,dirty fighter,U+1F4A9 U+1F37D U+FE0F,0,6,./generated_img_dataset/train_google/1481.png
💩💵💰,dirty fighter,U+1F4A9 U+1F4B5 U+1F4B0,0,6,./generated_img_dataset/train_google/1482.png
🤮🦶,dirty fighter,U+1F92E U+1F9B6,0,6,./generated_img_dataset/train_google/1483.png
🦠🛖🦠,dirty fighter,U+1F9A0 U+1F6D6 U+1F9A0,0,6,./generated_img_dataset/train_google/1484.png
🪠🚽🧹,dirty fighter,U+1FAA0 U+1F6BD U+1F9F9,0,6,./generated_img_dataset/train_google/1485.png
😵‍💫😖👉🛁,dirty fighter,U+1F635 U+200D U+1F4AB U+1F616 U+1F449 U+1F6C1,0,6,./generated_img_dataset/train_google/1486.png
🏞️,common procedure,U+1F3DE U+FE0F,0,6,./generated_img_dataset/train_google/1487.png
🤲📱,common procedure,U+1F932 U+1F4F1,0,6,./generated_img_dataset/train_google/1488.png
🪰😐,common procedure,U+1FAB0 U+1F610,0,6,./generated_img_dataset/train_google/1489.png
👏👦🧑‍🦱,common procedure,U+1F44F U+1F466 U+1F9D1 U+200D U+1F9B1,0,6,./generated_img_dataset/train_google/1490.png
🛍️🛍️🔄,common procedure,U+1F6CD U+FE0F U+1F6CD U+FE0F U+1F504,0,6,./generated_img_dataset/train_google/1491.png
🧠🤔😒,common procedure,U+1F9E0 U+1F914 U+1F612,0,6,./generated_img_dataset/train_google/1492.png
🤲⛵👨,common procedure,U+1F932 U+26F5 U+1F468,0,6,./generated_img_dataset/train_google/1493.png
👩‍💼🗣️💼,common procedure,U+1F469 U+200D U+1F4BC U+1F5E3 U+FE0F U+1F4BC,0,6,./generated_img_dataset/train_google/1494.png
🧑‍✈️🚤,common knowledge,U+1F9D1 U+200D U+2708 U+FE0F U+1F6A4,0,6,./generated_img_dataset/train_google/1495.png
👏👦🧑‍🦱,common knowledge,U+1F44F U+1F466 U+1F9D1 U+200D U+1F9B1,0,6,./generated_img_dataset/train_google/1496.png
👥⛰️,common knowledge,U+1F465 U+26F0 U+FE0F,0,6,./generated_img_dataset/train_google/1497.png
🤲⛵👨,common knowledge,U+1F932 U+26F5 U+1F468,0,6,./generated_img_dataset/train_google/1498.png
👥🪰,common knowledge,U+1F465 U+1FAB0,0,6,./generated_img_dataset/train_google/1499.png
🛍️🛍️🔄,common knowledge,U+1F6CD U+FE0F U+1F6CD U+FE0F U+1F504,0,6,./generated_img_dataset/train_google/1500.png
▶️👦👦👦,common knowledge,U+25B6 U+FE0F U+1F466 U+1F466 U+1F466,0,6,./generated_img_dataset/train_google/1501.png
🤲⛵👨,common knowledge,U+1F932 U+26F5 U+1F468,0,6,./generated_img_dataset/train_google/1502.png
🖥️,common land,U+1F5A5 U+FE0F,0,6,./generated_img_dataset/train_google/1503.png
👥😩,common land,U+1F465 U+1F629,0,6,./generated_img_dataset/train_google/1504.png
👥🪰,common land,U+1F465 U+1FAB0,0,6,./generated_img_dataset/train_google/1505.png
👩‍💼🗣️💼,common land,U+1F469 U+200D U+1F4BC U+1F5E3 U+FE0F U+1F4BC,0,6,./generated_img_dataset/train_google/1506.png
👥🔃,common land,U+1F465 U+1F503,0,6,./generated_img_dataset/train_google/1507.png
🤲⛵👨,common land,U+1F932 U+26F5 U+1F468,0,6,./generated_img_dataset/train_google/1508.png
👓👝👗👔©️,common land,U+1F453 U+1F45D U+1F457 U+1F454 U+A9 U+FE0F,0,6,./generated_img_dataset/train_google/1509.png
👥🗣️,common land,U+1F465 U+1F5E3 U+FE0F,0,6,./generated_img_dataset/train_google/1510.png
🪰,common nuisance,U+1FAB0,0,6,./generated_img_dataset/train_google/1511.png
🤲📱,common nuisance,U+1F932 U+1F4F1,0,6,./generated_img_dataset/train_google/1512.png
🪰😐,common nuisance,U+1FAB0 U+1F610,0,6,./generated_img_dataset/train_google/1513.png
👥⛰️,common nuisance,U+1F465 U+26F0 U+FE0F,0,6,./generated_img_dataset/train_google/1514.png
👓👝👗👔©️,common nuisance,U+1F453 U+1F45D U+1F457 U+1F454 U+A9 U+FE0F,0,6,./generated_img_dataset/train_google/1515.png
🧐🧠,common nuisance,U+1F9D0 U+1F9E0,0,6,./generated_img_dataset/train_google/1516.png
👥🪰,common nuisance,U+1F465 U+1FAB0,0,6,./generated_img_dataset/train_google/1517.png
